paperid,referenceids,date,title
129410126,[],2016-12-01,Information research: South African journal of library and information science (2005-2015): A bibliometric study
239309904,[],2012-05-01,The 13th International Conference on Scientometrics and Informetrics
251049043,"[120214626, 455643844, 198059371, 138845865, 402275509, 343410438, 146548087, 346115326, 272124352, 214020521, 49522472, 445214285, 221126747, 496796778, 420873863, 223221090]",2021-02-05,What we talk about when we talk about information literacy
476374102,"[52726731, 472805826, 230433111, 323644402, 342840518, 88588018, 255449638, 461158098, 212729498]",1994-05-01,Towards a multi-disciplinary Bradford law
164283479,[],2014-01-01,Informetric analysis on open-access high productivity authors in biomedical area
134095972,"[366549713, 61986366, 56288529, 357178695, 353287330, 206514175, 434030368, 161879931, 365311352, 91375062, 119485965, 68146777, 332526712, 487492052, 341796770, 93334433, 113353441, 350404631, 251020322, 299987280, 337105688, 23510969, 443617449, 452462348, 313125937, 233279319, 276024983, 70337285, 320461657, 343463324, 25037759, 108611711, 419838176, 432872085]",2013-01-01,Blending qualitative and quantitative research methods in library and information science in sub-Saharan Africa
25703525,[],1992-01-01,L'évaluation de l'I.S.T. : aspects quantitatifs et qualitatifs
113624166,"[439143969, 164308083, 140167592, 334431297, 212820670, 49435760, 180414442, 209104078, 487130372, 341168487, 217085970, 141970067, 168432632, 490404698, 276990444, 376935515, 51339113, 266602551, 168204990, 147708454, 258713249, 110608671, 100125037, 87583585, 417623165, 58524881, 170623917, 268447341, 205471116, 318257729, 368237872, 379741698, 67783051, 420218260, 402687743, 76763119, 451623455]",2009-06-01,Libcitations: A measure for comparative assessment of book publications in the humanities and social sciences
115586156,"[30498497, 402356610, 374311508, 68340791, 159034625, 394915395, 165169158, 19160772, 348504464, 195154954, 50718898, 87668780, 241264614, 135348618, 30738644, 471735250, 125414646, 315953290, 337912611, 458381266, 1726021, 138950140, 348421404, 300589682, 179812651, 323794707, 129463578, 114089375, 281293968, 365481342, 8645899, 416139832, 384580814, 465802666, 108388533, 44700232, 415147734, 319037694, 3448249, 84519711, 106252948, 60829148, 49483611]",2020-08-18,The logistic Nadarajah-Haghighi distribution and its associated regression model for reliability applications
423892079,"[25253119, 203025229, 378657249, 205319655, 116740513, 493872845, 151587415, 230111850, 267019626, 86184584, 107786834, 438772227, 187844543, 164536413, 307149837, 233540893, 81213136, 147218226, 192717583, 455216593, 27077708, 263536708, 391406144, 92662139, 54382009, 133740110, 112410861, 45003169, 379217482, 301723370, 283280037, 102811155, 333736405, 326326807, 416167277]",2008-01-01,Extracting accurate and complete results from search engines: Case study windows live
86312048,[],2005-01-01,Proceedings of ISSI 2005: 10th International Conference of the International Society for Scientometrics and Informetrics
411710584,"[151312751, 163708887, 423084271, 52392534, 52928312, 224336541, 163483079, 455216593, 11760866, 455541115, 395818588, 267679656, 290605702, 391560920, 153799769, 239057559]",2016-02-01,Interrelations among scientific fields and their relative influences revealed by an input–output analysis
489096324,[],2011-01-01,Mapping Knowledge Domains of Research Focus of China's Information Science in 2010——One of Series Papers of Knowledge Mapping Research Group in Nanjing University
465654918,"[88639362, 3516962, 43362184, 425298047, 373682622, 491292262, 445913118]",2009-03-18,Some Comments on Egghe’s Derivation of the Impact Factor Distribution
70067336,[],2017-01-01,Applied Evaluative Informetrics: Part 1.
296887433,"[385597885, 28544974, 224776191, 72476032, 179385327]",2015-01-01,Differences by gender and role in PhD theses on sociology in Spain
364692618,[195845945],2015-03-01,Scientometrics and information retrieval
326689934,"[293765572, 387322799, 476125771, 395459432, 32921694, 312467242, 396758441, 109157815, 363753749, 263625337, 118767296, 341664457, 330963638, 276318149, 402504783, 311482283, 353774729, 163507539, 130594634, 36228499]",1999-10-01,Korean international co-authorship in science 1994-1996
296081,"[52386787, 460511840, 162868488, 113133439, 332794418, 235811862, 370246960, 435154267, 217796602, 366100296, 486770077, 320490629, 111569531, 342827234, 417527341, 455216593, 176553696, 318980611, 80711293, 325269727, 123736873, 181948547, 189903044, 96070921, 363918864, 158209835, 78483395, 257688173, 385674396, 484126925, 102476786, 250318809]",2016-03-01,Mapping the landscape of cerebral amyloid angiopathy research: an informetric analysis perspective
19125397,[],1997-01-01,"The proceedings of the first and second international conferences on bibliometrics, scientometrics and informetrics: a data analysis"
348275862,"[384132372, 481659838, 236498952, 368381963, 458668757, 42850945, 388821914, 371484301, 180446009, 365330752, 467175548, 481234065, 157389860, 199621530, 49204756, 103820590, 464248621, 431110679, 381504576, 145484895, 179622077]",2005-05-01,Measuring similarity of concentration between different informetric distributions: Two new approaches
173937815,"[31510958, 334960345, 410308130, 160999294, 411984564, 452791008, 305354140, 123734508, 390883628, 471731417, 13912436, 273138483, 429400819, 433623806, 470668495, 207153246, 434780652, 275626181, 111789295, 344642845, 236754869, 49214760, 33606804, 261472926]",2006-03-01,Trend of laser research developments in global level
336397462,"[456096703, 391406144, 67264181, 484563531, 378632030]",1998-01-01,Informetrics: an emerging subdiscipline in information
37766306,[],2010-01-01,Information Visualization of Drug Molecule Design Domain
254067875,[],2013-10-01,European doctoral forum at the 14th international society of scientometrics and informetrics conference
156865702,"[429799753, 457159357, 211832167]",2019-01-01,Blockchain for Open Data – Exploring Conceptual Underpinnings and Practice
265954477,[],2018-01-01,The Study of Hotspots on Nursing Dissertation Based on Co-Word Analysis in China.
72774830,[],2008-09-01,활자본 고소설 말뭉치 구축의 국어정보학적 의의
79443121,"[78871883, 446791736, 227005097, 409487481, 77713086, 111866299, 405157163, 66312828, 65422920, 303196645, 32088962, 405867737, 155665083, 453349624, 265567793, 129830410, 337064673, 321738600, 436794777, 198491628, 44216095, 65417633, 19599054, 38474470, 144973904, 441921967, 440789347, 206937150, 356963515, 337593833, 125213555, 309615564, 396883265, 383013551, 423269948, 288243988, 90876769, 171108769, 155835836, 308041752, 31348501, 206925177, 448282420, 418659830, 443814503, 49153745, 156328692, 125889864, 403388928, 76046679, 233967932, 187635122, 155507163, 83490747, 470841700]",2014-06-01,Modeling users' web search behavior and their cognitive styles
475387059,[],2003-08-01,Multidimensional data model and query language for informetrics
33211573,[],2014-04-01,Bibliometric-Enhanced Information Retrieval. Editorial for the workshop.
22213814,[],2010-01-01,Investigation and Analysis on the Utilization Status of Informetrics Teaching Materials in China
444675257,[],2003-02-01,Self-citation and self-reference
167752890,[],2015-01-01,"Comparing and ranking universities when quantity and quality both matter, under revision for the Journal of Informetrics"
56763579,[],1993-01-01,Informetrics on Neem research in India
154600636,[],2014-06-01,Institution name disambiguation for research assessment
126891197,"[166018217, 280336974, 254903201, 11129759, 463217112, 277458983, 175544753, 127545558, 442703217, 145073746, 291329533, 381924685, 88588018, 316824621, 122897271]",2012-10-01,"Remarks on the paper by A . De V isscher, “what does the g-index really measure?”"
66462909,"[349295793, 386386122]",2008-12-30,"Growth and impact of research output of University of Mysore, 1996-2006: A case study"
105931966,[],1994-03-01,"Enformetri, Bradford Yasası ve Citation İndeks"
265880767,"[135865001, 257471824, 171573408, 283692201, 223980646, 111332520, 26309206, 321225157, 189903044, 52774984, 358690326, 250318809]",2020-05-31,Informetrics and the study of science–society communications: a bibliometric scoping review
28890303,"[46079626, 12176978, 325270809, 113658214, 226782884, 216073117, 323569681, 145073746, 106760293, 108521511, 158293704]",2020-04-26,"Partitioning highly, medium and lowly cited publications"
342561994,[],2007-01-01,"Kvantitativna istrazivanja procesa stvaranja, pruenosa i koriŠtenja informacua - nuznost jedinstvenog pristupa"
423433419,[],2014-01-01,A scientometrics study on informetrics: one decade quantitative researches in Iran (2002-2012)
497665229,"[268312128, 243164481, 423084271, 464253276, 54003878, 366236922, 330205073, 240865075, 60807805, 222652511, 362526357, 2481623, 273366809, 111400167, 451672567, 489018382, 31347499, 373682622, 344444012, 346643177, 449270684, 104910112, 202717810, 145073746, 2697848, 59284601, 343779642]",2014-07-01,Extending citer analysis to journal impact evaluation
71902413,"[23599009, 422618376, 234716820, 6090146]",2009-01-01,Unaccompanied refugee children
393241808,"[354898068, 293787980, 183893802, 82170298, 122871244, 383022216, 307149837, 418102957, 16012112, 204040861, 483190534, 12712855, 248810210, 495935930, 23741262, 391406144, 360091686, 379217482, 433338578, 306417957, 19125397, 371334201, 322601975, 279687329, 324744385]",2000-03-15,The Web as an information source on informetrics?: a content analysis
319296723,[],2017-11-15,Análisis de 5 universidades colombianas con mayor porcentaje de investigaciones publicadas en revistas de primer cuartil según el SIR Iber 2014
180937943,"[290318629, 369266723, 115644777, 18254118]",1994-06-01,SIMILARITIES BETWEEN INFORMETRICS AND ECONOMETRICS
291046615,[],2005-06-01,Toxicology literature an informetric analysis
51045591,[],2019-04-01,Using test data to evaluate rankings of entities in large scholarly citation networks
464757978,[],2010-01-01,Research Status and Development Trend of Informetrics Both at Home and Abroad
93156567,[],2013-12-01,정보분석 인텔리전스 체제 구축
106083550,"[367475993, 246022654, 124378417, 126581049, 270067832, 91539248, 208410257, 336462647, 11224828, 462547515, 130386580, 290483526]",2015-06-27,Evaluating journals' yearly impact with altmetric indicators
259876064,[],2015-01-01,The Visualization Research of Informetrics in China Based on 2-mode Network
200398049,"[209145009, 405392162, 64051842, 105194680, 228803619, 118654762, 470449237, 106173431, 368374290, 211252789, 418515610, 90707420, 280034573, 450319632, 431936652, 456169277, 377834143, 212748077, 482139377, 125895840, 43312397, 318767695, 175264468, 470318728, 43255609, 276635553, 163937974, 218040191, 482238480, 48807526, 170589281, 217725048, 51084790, 73921992, 478817468, 494995470, 482838022, 178798104, 228043071, 39715039, 316730381, 254127860, 499011789, 423308101, 206377463, 341110016, 8045228, 56134224, 106436619, 404703361, 337874545, 20022784, 235860107, 112193265, 139761204, 155337893, 295934039, 203168605, 192843562, 203989594, 413817957, 228837929, 211683707, 256209211, 63667188, 253696647, 24258854, 107108753, 375364962, 149125804, 335595453, 128242293, 96268326, 412454765, 227111425, 313952414, 86984343, 386302981, 109357306, 478523043, 216789359, 212495561, 357104990, 275869589, 451685015, 141983486, 341214441, 353918131, 407387737, 207446032, 29116666, 347880497, 281046193, 304489197, 451619106, 468299025, 36574009, 382091018, 469449422, 161450128, 482858268, 332443930, 149383166, 320476049, 31090338, 432106402, 408827069, 216073117, 3439806, 79158789, 291551313, 251847652, 178780607, 305870717, 264652921, 75340261, 456878601, 473672847, 421943002, 121811415, 290442915, 7729751, 137123579, 3952929, 329306865, 487002288, 151334611, 486246079, 387973868, 384800433, 284499118, 473721959, 110801665, 493547059, 126848252, 9101473, 40610643, 376413882, 181427268, 399801827, 422989866, 8570099, 370507163, 251508074, 255654812, 424708401, 90128650, 79126287, 192112115, 343756590, 299149939, 128592821, 467312762, 235682975, 106760293, 175450138, 411918824, 346730917, 79982996, 129615356, 420737389, 139796688, 158690012, 493903392, 225630731, 42085510, 392744203, 22524424, 333821195, 462735646, 140207934, 328951831, 257849967, 425076548, 122956912, 366137001, 81637738, 139293767, 314552484, 173770687, 349788021, 2413434, 27743418, 241437987, 39474155, 461470977, 321156008, 314111811, 241713003, 187296909, 215222643, 309716705]",2016-01-01,Selected Models for Dynamics of Research Organizations and Research Production
275436771,"[135865001, 323423086, 185611659, 223980646, 408837076, 459422957, 186456992, 178461327, 21734262, 386063827, 72129287, 17624559, 315466357, 89193119, 496394906]",2017-10-01,Informetrics in the World System of Higher Education
251241699,[],2018-12-01,"Bibliometrics, Scientometrics, Webometrics/Cybermetrics, Informetrics and Altmetrics -- An Emerging Field in Library and Information Science Research."
119440613,"[303227883, 70759325, 13031059, 238882694, 465717952, 139571425, 223980646, 487951876, 261410872, 258111612, 328510177, 463825701, 29316263, 301374775, 115644777, 284499118, 192652747, 166012329, 412126917, 295873316, 88588018, 306235501, 381504576, 341764912]",1995-01-01,THE DEPENDENCE OF LOTKA'S LAW ON THE SELECTION OF TIME PERIODS IN THE DEVELOPMENT OF SCIENTIFIC AREAS AND AUTHORS
429716714,"[456795276, 439026548, 93071008, 32907099, 447374823, 105877064, 249159936, 192131452, 145073746, 460788758, 483633858, 257243345]",2012-10-01,Further clarifications about the success-index
351577323,[],2010-01-01,Research of the Cross-Disciplinary Models of Nanoscience & Nanotechnology Over Time
323355886,[],2013-01-01,"The historical roots of iMetrics: Referenced Publication Years Spectroscopy (RPYS) routinized and applied to Scientometrics, Journal of Informetrics, and (a subset of) JASIST."
360441072,[],2006-01-01,HistCite™ : A software tool for informetric analysis of citation linkage
450323698,"[490566615, 101298303, 221664412, 198206088, 328728310, 419559204, 899342, 222602546, 143746187]",2019-08-01,Analysis on Hotspots of International Scientific Data Management and Sharing Based on Informetrics Atlas
198542582,"[48807526, 101589965, 16911505, 69743109, 221011812, 370507163, 128592821]",2012-07-01,Alternative thoughts on uncitedness
253478135,"[42213373, 379868147, 305013660, 298203351, 483328980, 88588018, 321029967]",1995-01-11,A modification of Lotka's function for scientific productivity
202978552,"[401283513, 160662431, 16542214, 42723939, 25925870, 157350163, 68490710, 251741911, 459372576, 47523548, 291862226, 433412856]",1992-04-01,Theory of search keys and applications in retrieval techniques used by catalogers
118281467,"[417315675, 448734856, 311198339, 407379619, 401927786, 293574794, 50425471, 358028825, 158629350, 116726270, 444414055, 186434360, 232653680, 195725725, 252133277, 29444201, 203989594, 370303443, 104614179, 395249932, 239924959, 355772548, 65742854, 457559024, 257703976, 37843609, 120260465, 397350341, 52666894, 398328493, 263452404, 174135252, 471273673, 298988739, 293446263, 38745319, 64988970, 181815876, 186216387, 342831293, 43761393, 205273517, 263516274, 254076940, 38615843, 311467090, 435442434, 290307053, 12263822, 47778266]",2015-07-01,"Argue, observe, assess: Measuring disciplinary identities and differences through socio-epistemic discourse"
225936652,[],2014-10-01,Sixty-four years of informetrics research
261010701,[],2006-01-01,Grundlagen und Forschungsfelder der Webometrie
393368845,"[82704118, 223980646, 68048627, 406175765, 231481713, 468606882, 424988705, 235245518, 349441257, 458890003, 83039287, 296081, 383960027, 96325830, 167470865, 225603357, 453087638, 181271057]",2020-10-28,Chronologic trends of cancer-related lymph node research in PubMed: informetrics analysis.
198771984,[],2015-01-01,Оценка результативности научных исследований: библиометрия
493925653,"[18936407, 218230249, 395818588, 42990690, 369230300, 116710484, 49285435, 44424204, 426316608, 79446632, 380088208, 305383153, 101596629, 315331998, 359941821, 325452746, 318602279, 425550191, 71566822]",2014-05-27,Library resources semantization based on resource ontology
40027413,"[142494063, 110199875, 49725617, 271137493, 142873094]",2016-01-01,Use of Text Mining for Understanding Peruvian Students and Faculties' Perceptions on Bibliometrics Training.
76203287,[],2011-01-01,Visualization Analysis of the Evolution from the Bibliometrics to Webometrics
246478104,[],2012-01-01,Ronald Rousseau's Academic Thought and the Academic Exchange with Chinese Colleagues
466150688,"[336462647, 432185117, 407711607, 238782067]",2018-04-15,Dimensions: re-discovering the ecosystem of scientific information
287270177,"[355800034, 143426794, 348962452, 114917009, 394392084, 402209534, 88460335, 189581694, 267097839, 364782305, 379384240, 275973886, 257595305, 50327956, 304612832, 469651337, 475670372, 238281899, 418804758, 398227942, 466981732, 57842573, 225315195, 165843452, 84662339, 107665481, 245411184, 114304472, 443150224, 269324426, 476797589]",2019-04-01,Visualising and mapping the intellectual structure of medical big data
107844898,[],2010-01-01,Structures and dynamics of scientific knowledge networks:An empirical analysis based on a co-word network
73930022,[],2015-11-01,Scientometric mapping of research on `Big Data'
346490153,[],1992-01-01,Wirtschaftsinformationen aus informetrischen Online-Recherchen
75568433,"[176843762, 203989594, 395249932, 307116924, 104817907, 144499307]",1998-11-01,Mapping a research area at the micro level using co-word analysis
278193463,[],2017-01-01,The Study of Hot Spots on Hepatitis B Dissertation Based on Co-Word Analysis in China.
169448760,"[362215268, 269651897]",2013-01-01,Theory of the topical coverage of multiple databases
329807163,[],1996-01-01,Widening Horizons of Informetrics
392750396,[],2016-05-01,"Selected papers of the 15th International Conference of the International Society for Scientometrics and Informetrics (ISSI), Boğaziçi University, Istanbul, Turkey, 29 June---4 July 2015"
291910976,"[153805523, 126699347, 271622290, 49094783, 99427606, 239930703, 249310946, 101783902, 296568933, 36297451, 456355515, 154511728, 460515515, 406597212, 31792257, 292558970, 305246354, 246110556, 40736468, 178361050, 126033541, 460275406, 360560983, 480718532, 9366993, 309358695, 361428390, 157678477, 166962909, 204415138, 24693809, 207675203, 329160947, 216024736, 293762934, 241927420]",2008-02-15,The shifting balance of intellectual trade in information studies
212501826,"[69718389, 70553892, 50048230, 11459226, 51613310, 65172710, 242673289, 82496726, 343479368, 101940518, 196887517, 145707111, 8836404, 466856001, 471273673, 333352759, 46343326, 234794687, 51854705, 181948547, 42298063, 76808509, 94613999, 290039495]",2016-03-15,Leveraging the power of social reading and big data: an analysis of co-read clusters of books on Goodreads
51029319,"[336462647, 432185117, 407711607, 238782067, 270045781]",2018-04-04,Dimensions: Re-discovering the ecosystem of scientific information
52663624,[],2015-01-01,"Trends, patterns, challenges and types of archival research in sub-Saharan Africa"
413738314,[],2012-02-01,"Elements d'estadística i de matemàtica de la informació, febrer 2012"
493024586,"[160568124, 482208427, 291811672, 42213373, 114770024, 130566955, 378632030, 301950871, 178988676, 144973904, 307149837, 346541663, 30193412, 434068164, 136957631, 33355132, 181289268, 64054714, 471273673, 326360944, 367026247, 335431961, 372544661, 77497259, 385900738, 32271508, 330436325, 496196318, 270637786, 330743992, 230157025, 488943502, 293942504, 484563531, 325226140, 492971209, 363893571]",1999-01-01,"Informetrics through Advanced Data Management. Complex Object Restructuring, Data Aggregation and Transitive Computation"
440776017,"[71122300, 104806133, 237935715, 312135986, 470668495, 121811415, 76653292, 377140177, 358027859, 367442227, 317145192]",2014-08-01,The Albuquerque model and efficiency indicators in national scientific productivity with respect to manpower and funding in science
105702739,"[317659706, 132552067, 262171405, 487097974, 8753980, 375842975, 352477566, 381609806, 73445638, 374094563, 110801665, 490310888, 3042491, 291868194, 88588018, 402098929]",1990-01-01,Chaotic structures in informetrics
360334677,"[377221059, 158629350, 49074215, 468494994, 42089460, 134074375, 237941160, 45687335, 227009772, 387198780, 423966675, 241105844, 118649765, 225824994, 345536867, 427902278, 250856645, 212450327, 454883298, 145051703, 129469516, 373644217, 458562946, 206687935, 285240279, 47100538, 320733695, 177188626, 219768699, 299299469, 242079388, 407176814, 448345135, 272674300, 478621860, 129149896, 139742599, 28183635, 186707115, 455432148, 142186848, 224793616, 73264637, 357075254, 482124598, 12451649, 159443936, 44229258, 403327629, 459567326, 299383537, 340306957, 400246677, 487612263, 112679716, 231380267, 117457190, 203496644, 79037704]",2021-05-18,Cyber-bullying research in Kenya: a meta-analysis
436233562,"[140021298, 279647030, 140457056, 487298495, 124207709, 163454938, 57442123, 17157827, 243038891, 188405160, 427063201, 460324503, 220127234, 50360369, 64957063, 341283652, 348315558, 405758800, 362601542, 181815876, 240908848, 266710483, 145073746, 197384777, 94925426, 123098093, 113984818, 178912421, 95123547, 330956659, 95866282, 288939154, 175255786, 309959102, 298512406, 478832947, 208931834, 153799769, 51390705, 353625268, 488347897, 205586611, 300210006, 69443362, 430053358]",2018-06-18,The Science of Science and a Multilayer Network Approach to Scientists' Ranking
292603228,"[85750512, 80003070, 125748522, 403203281, 156036404, 227317121, 457285418, 450467340]",2010-10-28,An Informetric analysis of web citation in Chinese journals of Library and Information Science in recent years
203515233,"[416799974, 130556270, 152058685, 281482132, 192072293, 253887652]",2002-01-01,Application of the Cantor Set Theory in making Decisions about the Collections Development
369317218,"[398472845, 444769997, 323395085, 223535293, 166577113, 155643615, 198573950, 405345972, 282226011, 463205026, 335595453, 273366809, 9414276, 444248916, 408956678, 42177598, 315503691, 472990783, 52516734, 307993164, 307077230, 38628880, 111234327, 435421294, 255154173, 76888062, 375299693, 467894249, 192571485, 371288255, 481743121, 442975184, 345130907, 349066466, 348292563]",2017-03-01,A journal's impact factor is influenced by changes in publication delays of citing journals
385660259,"[68692149, 244488180, 467516658, 497527966, 136343230, 118648117, 459452009, 470668495, 105036210, 434717288, 65815933, 67868114, 451239262, 59612702, 77004729]",2009-01-10,"Capacitating national research: a review of South African natural sciences research projects, theses and dissertations, 1986-2006"
204801377,"[163579462, 331600915, 304417070, 482139377, 280336974, 418690665, 327727902, 254903201, 387281435, 470975036, 386302981, 109357306, 463668489, 401878260, 145073746, 69012796, 455875990, 183483761, 392020411, 483832870]",2007-04-01,Item-time-dependent Lotkaian informetrics and applications to the calculation of the time-dependent h-index and g-index
447989090,[400978691],2007-01-01,Welcome to the Journal of Informetrics
380347751,[],2013-01-01,"Informační věda v kontextu filosofické hermeneutiky H.-G. Gadamera, aneb, Universum informací v kontextu universa hermeneutiky a filosofie"
213144936,"[373405264, 487352564, 349620549, 351495810, 25529823, 43410470, 157375506, 252225437, 89385274, 284448617, 455906430, 268987387, 260938760, 90731689, 388638655, 221302737, 113658214, 71525251, 340707344, 12086525, 322617418, 37408495, 174944940, 226782884, 355667770, 87540949, 53936421, 384868818, 352648483, 108307577, 325267019, 424659086, 419533112, 80403247, 362428210, 424997121, 450135956, 288920226, 355580222, 393872541, 358592147, 229766782, 119233003, 230438366, 492625649, 231781669, 128147482, 144409720, 273000607, 423002050, 259896571, 232261256, 6245436, 162575749, 56642081]",2016-07-01,Influence of human behavior and the principle of least effort on library and information science research
16520562,"[39036257, 16019168, 188591362, 77797639, 302126807, 458352534, 280336974, 418690665, 63732257, 327727902, 368527843, 254903201, 448800454, 387281435, 109357306, 463668489, 335661378, 142620940, 234022395, 13169291, 298174868, 405758800, 391406144, 282113099, 102602472, 145073746, 338967959, 69012796, 60583134, 16806170, 31320675, 392020411, 239829126, 138154422, 333128032, 163622822]",2008-06-01,The h-index of h-index and of other informetric topics
226489715,"[46079626, 337469744, 415299748, 10833821, 491167176, 297171626, 361946826, 54431153, 264808127, 468084144, 206120899, 444079698, 358598235, 308270680, 36973514, 148099600, 450394429, 20105366, 415990698, 290221702, 276204395, 166237549, 15920102, 176255655, 22259234]",2019-01-01,"Scientometrics Shaping Science Policy and vice versa, the ECOOM Case"
280933751,"[440812317, 135865001, 214906287, 52726731, 287889070, 251443209, 470115168, 431080276]",2007-01-01,Why is a new Journal of Informetrics needed
471520633,"[166018217, 52726731, 39715039, 183791311, 135749019, 408391191, 296871589, 325267019, 115644777, 387882467, 88588018, 332727355, 125937407]",2005-12-01,Production and use of information. Characterization of informetric distributions using effort function and density function
135017850,[],2012-01-01,Информетрия в системе многоуровневого информационнобиблиотечного образования: зарубежный опыт
204219771,"[244488180, 382541898, 54912669, 219510341, 339796878, 321750984, 357301250, 101783902, 487894638, 354363702, 161806057, 298605574, 25722317, 437880009, 14134163, 263021919, 346148600, 316816261, 20069122, 63329253, 297576383, 323427089, 423170198, 166370582, 91042266, 492102034, 209805164, 321156008, 452589915, 225003097, 469520924, 211094002, 472369549, 191524677, 278157568, 56131094, 107951634, 139055428, 330571726]",2013-01-01,An informetrics study of the cited references in archival research in sub-Saharan Africa: A measure of the archival researchers' preferences?
295654780,"[322005304, 63041945, 415596225, 135727278, 418944977, 42108941, 36326325, 145715347, 350265613, 297020646, 425298047, 435540943, 154096464, 374906692, 51899350, 96912724, 87583585, 443984321, 431993742, 36473896, 283553961, 171245719, 378022287, 163491439, 305344093, 237527669, 280163121, 277646026]",2013-04-01,Does the specification of uncertainty hurt the progress of scientometrics
57640317,[],1992-12-01,Breakdown of the Robustness Property of Lotka's Law: The Case of Adjusted Counts for Multiauthorship Attribution.
8242559,"[187013566, 338679841, 404397996, 223980646, 495266608, 78625623, 111930320, 56470127, 249290776, 361272419, 451050720, 437427453, 37843609, 445920678, 297199166, 93668150, 234794687, 149855738, 450120831, 126848252, 397640384, 6276204, 368579849, 837448, 100126918, 449434513, 99695280, 278157568, 101769425]",2012-07-01,Towards a representation of diffusion and interaction of scientific ideas: The case of fiber optics communication
319690112,"[15722611, 135092519, 260108891, 301809808, 376498488, 42664175, 19836768, 32802007, 225994463, 281441765, 166459206, 172317041, 456069053, 57796941, 368092298, 462840408, 170164745, 80199812, 141970067, 24597145, 36519630, 189737437, 376550759, 360616023, 344936835, 354324937, 52028475, 163081485, 309792292, 444558449, 167392207, 19104172, 170491566, 153801740, 108003474, 320359435, 142943832, 24449295, 334838170, 184777125, 441808635, 52206045, 321575278, 308115372, 36973514, 128592821, 283616994, 389027141, 235437605, 410736660, 382111747, 252467159, 130185581, 161603829, 205538227, 312249448, 110537906, 358540505, 118642082, 193429952, 435886439]",2005-11-30,Shallow Science or Meta-Cognitive Insights: A Few Thoughts on Reflection via Bibliometrics
433886598,"[415168812, 2172261, 264975021, 383288802]",1993-01-01,Constructing Linear Measures from Counts of Qualitative Observations.
185611659,[],2000-07-01,Informetrics -- a new area of quantitative studies
85366162,[],2016-02-01,Application of molecular biotechnology in Pharmacognosy
474518939,"[285856161, 481576079, 399886550, 239136293, 289577199, 467622287, 454063336, 51121186, 211365515, 154561707, 210577598, 3058752, 386144664, 436525206, 174094847, 316644289, 326111191, 277372556, 33237836, 72657520, 304972248, 149750948, 144324800, 436731939, 415233933, 206987807, 268968133, 225717116]",2019-03-01,The Potentials of Open Access Initiative and the Development of Institutional Repositories in Nigeria: Implications for Scholarly Communication
178320801,[],2005-01-01,LOTKAIAN INFORMETRICS OF SYSTEMS IN WHICH ITEMS CAN HAVE MULTIPLE SOURCES
338716076,[],2017-01-01,Сучасні засоби вимірювання наукової інформації: бібліотечний досвід
476292527,"[377152343, 450394429]",2017-05-01,"Informetrics: The development, conditions and perspectives"
214906287,"[405135502, 250158791, 493872845, 151587415, 453913667, 230111850, 66973189, 469835335, 4152898, 163305140, 291994596, 330304803, 434444579, 122871244, 78437457, 488235576, 41304745, 307149837, 388306348, 416471788, 215562933, 96254629, 375018393, 326911892, 101917852, 82545116, 47432440, 181290114, 96723021, 481531346, 421547992, 496736184, 495935930, 273225573, 460588758, 436829275, 263536708, 391406144, 126132249, 240908848, 27661007, 287038192, 360091686, 379217482, 46723004, 494921216, 369386373, 210902872, 75866142, 393241808, 285432245, 274443459, 184305592]",2001-01-01,Perspective of webometrics
449398195,"[121836568, 61194230, 119532786, 445410092, 171228779, 185630884, 180125498, 432323098, 89385274, 444414055, 357693027, 59796232, 341627863, 465717952, 329367598, 48065566, 284448617, 134673501, 39715039, 92253212, 368381963, 431867451, 267339334, 146748595, 421824687, 498207735, 73125089, 377358183, 343479368, 307964343, 366051633, 32135842, 132015733, 391722101, 409376861, 110026269, 141320288, 138178213, 231151676, 96268326, 51746822, 253471403, 445601000, 23074671, 105736143, 210494349, 341755162, 13901522, 435744321, 92322260, 151284321, 161156993, 139587031, 233986074, 42177598, 221261248, 73391671, 497769122, 94605446, 481262126, 290852690, 493343823, 306802522, 150288154, 444079698, 208485945, 25363842, 313933908, 183375267, 233552225, 115644777, 213315455, 39181644, 476255628, 200396519, 282561242, 261902278, 275815363, 42318132, 364113730, 214679831, 491040499, 362428210, 374995551, 408769544, 3042491, 443674304, 6276204, 342753687, 379537286, 480149370, 375169896, 205146256, 29083653, 249159936]",2010-01-01,Bibliometric Research: History [ELIS Clasic]
246646201,[],2014-06-28,La comunicación científica en 2013. Reflexiones sobre la comunidad informétrica: más enredados que nunca
154936766,[],2011-06-01,To Celebrate the Special Issue on Informetrics
208930250,[],2001-01-01,"Gu, Yinian and Zainab A.N. What did Malaysia contribute to the worldwide computer science and information technology in the 1990s? Proceedings of the 8th International Conference on Scientometrics and Informetrics, Sydney, Australia, July 16-20 2001. Sydney: Bibliometric and Informatric Research Group, Vol.2, 2001:837-841."
58717644,"[52320827, 471273673]",2015-03-01,Combining bibliometrics and information retrieval: preface
219182542,[],2009-12-01,"The International Conference of Knowledge Visualization – Summary of the 5th International Conference on Webometrics, Informetrics and Scientometrics & 10th COLLNET Meeting"
83629520,"[52726731, 231151676, 358222441]",2010-08-01,Journal of Social Sciences: A Bibliometric Study
